,genre,type,episodes,rating_anime,members,rating_user,Mature,SliceOfLife,Fiction,Action,Shonen,Others,Sexual,Josei
0,"Drama, Romance, School, Supernatural",Movie,1,9.37,200630,8.297862664847658,1.0,1.0,1.0,,,,,
1,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,793665,8.028933018637584,1.0,,1.0,1.0,1.0,1.0,,
2,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262,7.956709956709957,1.0,,1.0,1.0,1.0,1.0,,
3,"Sci-Fi, Thriller",TV,24,9.17,673572,8.126795623087693,1.0,,1.0,,,,,
4,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.16,151266,7.711952082766131,1.0,,1.0,1.0,1.0,1.0,,
5,"Comedy, Drama, School, Shounen, Sports",TV,10,9.15,93351,7.562854825628548,1.0,1.0,,1.0,1.0,,,
6,"Action, Adventure, Shounen, Super Power",TV,148,9.13,425855,7.924081632653062,,,,1.0,1.0,,,
7,"Drama, Military, Sci-Fi, Space",OVA,110,9.11,80679,8.23920265780731,1.0,,1.0,,,1.0,,
8,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9.1,72534,7.6657425742574254,1.0,,1.0,1.0,1.0,1.0,,
9,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9.11,81109,7.549467875443437,1.0,,1.0,1.0,1.0,1.0,,
10,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.06,456749,7.835275008401479,1.0,1.0,1.0,,,,,
11,"Drama, School, Shounen",Movie,1,9.05,102733,6.75,1.0,1.0,,,1.0,,,
12,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,336376,7.7752312022517085,1.0,,1.0,1.0,1.0,1.0,,
13,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888,7.76594340400957,1.0,,1.0,1.0,1.0,1.0,,
14,"Comedy, Drama, School, Shounen, Sports",TV,25,8.93,179342,7.266163522012579,1.0,1.0,,1.0,1.0,,,
15,"Adventure, Drama, Supernatural",Movie,1,8.93,466254,7.414512057108035,1.0,,1.0,,1.0,,,
16,"Drama, Music, Romance, School, Shounen",TV,22,8.92,416397,7.740262489415749,1.0,1.0,,,1.0,,,
17,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.88,75894,7.4047897196261685,1.0,1.0,1.0,,1.0,1.0,,
18,"Fantasy, Slice of Life",Movie,1,8.84,226193,7.539499286548191,,1.0,1.0,,,,,
19,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,715151,7.641243956995454,,1.0,1.0,1.0,1.0,1.0,,
20,"Comedy, Drama, Shounen, Sports",TV,75,8.83,157670,7.619047619047619,1.0,,,1.0,1.0,,,
21,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,8.83,129307,7.3436899982544945,1.0,1.0,,1.0,,1.0,,
22,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,486824,7.5585144109871685,1.0,,1.0,1.0,1.0,,,
23,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458,7.415358157619261,1.0,,1.0,1.0,1.0,,,
24,"Action, Adventure, Fantasy",Movie,1,8.81,339556,7.228608231613814,,,1.0,1.0,1.0,,,
25,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,240297,7.475563909774436,,1.0,1.0,,1.0,1.0,,
26,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26,8.8,205959,7.298448332783097,1.0,1.0,1.0,,1.0,1.0,,
27,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.8,101351,7.4018503620273535,1.0,1.0,1.0,,1.0,1.0,,
28,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,8.78,300030,7.657909765848087,1.0,1.0,1.0,,1.0,1.0,,
29,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,562962,7.709572322490562,,,1.0,1.0,1.0,,,
30,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,8.77,268487,7.590835030549898,1.0,1.0,,,1.0,,,
